FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.487483,487483,POINT (16.358814667996295 48.1793318485623),Matzleinsdorfer Platz,Matzleinsdorfer Platz,"1155, 1158, 261, 303, 309, 6011, 7860, 7940, 7941, G1",849,3,
OEFFHALTESTOGD.487484,487484,POINT (16.379626692115284 48.292483093704426),Dirnelwiese,Dirnelwiese,850,230,3,
OEFFHALTESTOGD.487485,487485,POINT (16.298052868418896 48.12917656377706),Siebenhirten Brunner Straße,Siebenhirten Brunner Straße,"260, 269, 270",1236,3,
OEFFHALTESTOGD.487486,487486,POINT (16.483305734281345 48.29300831897928),Gerasdorf,Gerasdorf,511,3499,3,
OEFFHALTESTOGD.487487,487487,POINT (16.280092109361707 48.24040872060432),Marswiese,Marswiese,445,936,3,
OEFFHALTESTOGD.487488,487488,POINT (16.456238227352028 48.26489495139451),Spitzweg,Spitzweg,520,1290,3,
OEFFHALTESTOGD.487489,487489,POINT (16.244983129651608 48.13766344243143),Kalksburg Kirchenplatz,Kalksburg Kirchenplatz,"253, 254",647,3,
OEFFHALTESTOGD.487490,487490,POINT (16.346266928953405 48.28439288414738),Donauwarte,Donauwarte,"400, 401, 402",237,3,
OEFFHALTESTOGD.487491,487491,POINT (16.427098354712445 48.13113411331406),Unterlaa Stadtgrenze,Unterlaa Stadtgrenze,266,1410,3,
OEFFHALTESTOGD.487492,487492,POINT (16.365106302515983 48.254467939259214),Grinzinger Straße,Grinzinger Straße,"400, 401, 402",428,3,
OEFFHALTESTOGD.487493,487493,POINT (16.389270587813776 48.29547281119777),Strebersdorfer Platz,Strebersdorfer Platz,"501, 510",1335,3,
OEFFHALTESTOGD.487494,487494,POINT (16.25224939701037 48.20397039116112),Wolfersberggasse,Wolfersberggasse,"450, 451",1501,3,
OEFFHALTESTOGD.487495,487495,POINT (16.355724029725117 48.17608993007198),Kundratstraße,Kundratstraße,"1155, 1158, 261, 303, 309, 7860, 7940, 7941",727,3,
OEFFHALTESTOGD.487496,487496,POINT (16.453106599545674 48.28297376944673),Pulkaugasse,Pulkaugasse,510,757,3,
